id,predicted_churn_risk,risk_tier,behavioral_state,behavioral_evidence,recent_deterioration_count,persistent_deterioration_count,coordinated_deterioration_count,value_tier,arpu_8,retention_priority,candidate_action,decision_rationale,churn_probability
12080,0.001068777354054376,Low,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,314.337,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
56023,0.7935537841834065,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
12237,0.1815024698650221,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,396.813,Priority 1,Usage / Engagement Review,Very High churn risk with Higher/Highest relative customer value.,0
128,0.00544244881805897,Moderate,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,3,5,Higher,305.877,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
45584,0.011568795561628842,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Higher,225.039,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
49383,0.11626347055856612,Very High,Recent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,4,0,2,Lower,67.1,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,1
48393,0.2294270183623637,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Highest,484.942,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
33310,0.04364644709355981,Very High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,2,1,3,Highest,651.63,Priority 1,Usage / Engagement Review,Very High churn risk with Higher/Highest relative customer value.,0
51461,0.008290734719026638,Moderate,Stable / Limited Deterioration,3/5 behavioural metrics declined across the observed period,0,0,3,Higher,365.909,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
30988,0.039332568781905435,Very High,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Highest,1239.71,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
39352,0.002306268718430954,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,2,0,2,Lower,64.615,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
50535,0.012741870786542167,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,273.417,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
11184,0.2720437454733935,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,5,3,4,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
48818,0.006670545645361866,Moderate,Recent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,3,0,2,Moderate,165.679,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
36830,0.019345517423874314,High,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,2,5,Lower,82.788,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
29671,0.0067403567941658185,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Higher,210.345,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
15682,0.8923494020536932,Very High,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,2,5,Lower,-5.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
33523,0.011213783983964403,High,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Higher,370.98,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
10104,0.0012694932715976582,Low,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,5,2,3,Higher,212.636,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
19375,0.0042316716370298605,Moderate,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,315.726,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
20806,0.47552559450705534,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,3,5,Highest,889.016,Priority 1,Persistent Deterioration Review,Very High churn risk with Higher/Highest relative customer value.,0
55651,0.0032247949563147943,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,2,0,2,Highest,829.189,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
50221,0.012915159586573136,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,158.37,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
44709,0.1694931499650027,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,3,0,3,Lower,85.519,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
39848,0.012644104350519244,High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,3,1,2,Moderate,124.98,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
25572,0.00456822165086878,Moderate,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,5,1,3,Higher,197.404,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
42902,0.0004236903572189354,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Highest,841.378,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
30314,0.5079917536591422,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Lower,19.781,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
54960,0.009713813491226369,High,Recent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,3,0,2,Highest,845.9,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
64820,0.022854768979303264,High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,1,5,Lower,70.961,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
67033,0.004060984622497666,Moderate,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,4,0,1,Highest,448.095,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
12493,0.007208434636824581,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Highest,942.587,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
6395,0.009563882444612199,High,Recent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,5,0,3,Moderate,92.28,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
54761,0.005454668971370745,Moderate,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,454.951,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
13316,0.0498744467217237,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,5,0,5,Lower,-0.11,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
6155,0.21315525668000487,Very High,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Higher,203.936,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,1
41935,0.0021579363537038336,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Higher,278.2,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
14989,0.0014857026591867432,Low,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,2,4,Higher,329.984,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
42774,0.06980137362779655,Very High,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,4,0,1,Lower,82.021,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
52717,0.0014027698941140323,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,229.056,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
50781,0.0036612408739977054,Moderate,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,2,2,4,Moderate,133.855,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
63400,0.0010594401176837822,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Highest,531.963,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
38084,0.7104530371681043,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,2,5,Moderate,124.443,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
23594,0.15556063587744243,Very High,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,5,1,1,Moderate,95.86,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,1
25671,0.3129170480184284,Very High,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Lower,27.78,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
9106,0.0043302881618429035,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,281.096,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
56665,0.006339845668560337,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,923.25,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
10238,0.0035389525578296064,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,1,0,2,Moderate,157.5,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
5083,0.012070596586512715,High,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Highest,1397.946,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
47266,0.002175781646586445,Low,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,3,4,Higher,210.35,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
2681,0.0018357643875502338,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Highest,941.263,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
64572,0.017080330376674724,High,Recent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,5,0,2,Highest,787.597,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
40546,0.05686799395283019,Very High,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,4,0,1,Lower,49.187,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
2109,0.004053333084153962,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,1,1,5,Lower,62.589,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
10447,0.9368205707418205,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
17899,0.002999023005604641,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,437.421,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
17543,0.022793701845394893,High,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,1,5,Higher,314.941,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
14289,0.0007208982466230671,Low,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Highest,1347.372,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
13264,0.40014808219394915,Very High,Recent Deterioration,5/5 behavioural metrics declined recently,5,0,0,Higher,226.0,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,1
18672,0.0015791338790092058,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Highest,775.24,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
30186,0.004926029842531526,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,137.021,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
22796,0.47655176826957557,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,427.605,Priority 1,General Retention Review,Very High churn risk with Higher/Highest relative customer value.,0
22320,0.0007922435658116933,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,1,1,4,Highest,1133.685,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
53247,0.3947300163110926,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Lower,2.679,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
4456,0.0167790181994163,High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,1,5,Lower,10.05,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
28825,0.008892043023704273,High,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Lower,45.536,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
23328,0.017140013758775746,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,3,4,Highest,527.494,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
2316,0.004915412290101446,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,1,1,1,Higher,283.771,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
15463,0.088926574737298,Very High,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Lower,84.153,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,1
20154,0.025086165782746413,High,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Moderate,183.552,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
35241,0.06286410095446457,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,1,1,4,Lower,71.727,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
19227,0.003860846787361525,Moderate,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,1,4,Moderate,156.304,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
30073,0.011055652316932185,High,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,3,4,Moderate,146.113,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
2443,0.010349943297172941,High,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Higher,295.869,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
25830,0.013793801738541488,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Higher,285.789,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
57070,0.720439244554343,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Lower,16.751,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
52422,0.07090067213199708,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,986.809,Priority 1,General Retention Review,Very High churn risk with Higher/Highest relative customer value.,0
25144,0.6442714221522482,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Lower,9.6,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
22373,0.0038950052804666607,Moderate,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,3,1,2,Moderate,116.89,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
51834,0.027145837351029663,High,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,5,0,1,Higher,214.87,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
66096,0.004186055779406932,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 4/5 behavioural metrics declined across the observed period,1,0,4,Highest,523.868,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
59474,0.011383087430615252,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Moderate,125.546,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
60124,0.002258143856979943,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,1,0,3,Highest,637.497,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
27720,0.0010276578273215522,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,2,0,2,Highest,505.357,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
31517,0.0005298097897794136,Low,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Highest,650.348,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
37554,0.17206220987197263,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,3,0,5,Lower,0.0,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
6563,0.00893892498999855,High,Recent Deterioration,2/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,2,0,3,Highest,389.352,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
57184,0.02452578205854857,High,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,2,4,Highest,625.083,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
28198,0.21814885856117047,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,2,5,Lower,20.676,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
53745,0.008518633703296455,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,1,1,2,Lower,53.61,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
46039,0.14102144806400263,Very High,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,5,0,1,Higher,262.423,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,1
7977,0.001579686615599383,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Highest,590.74,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
25585,0.0027017169722197555,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Lower,60.291,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
68562,0.03341328438014034,High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,2,0,1,Highest,576.028,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
40543,0.0037045642455636675,Moderate,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,2,2,2,Moderate,180.517,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
12439,0.05519944386651707,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Moderate,161.83,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
41335,0.2992235607522791,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,3,0,3,Highest,469.8,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
21385,0.0031900696891138114,Low,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,5,0,5,Lower,22.201,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
20368,0.004152808509940644,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,1,0,5,Moderate,143.707,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
28633,0.22195387191376093,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,3,5,Lower,10.19,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
66357,0.0017115325766836919,Low,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,3,5,Higher,296.829,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
9677,0.0004352984759449216,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,2,1,3,Highest,458.081,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
2944,0.017296737559007305,High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,2,1,4,Lower,84.297,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
47500,0.004838991808769098,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Higher,242.024,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
9728,0.16373766390254202,Very High,Recent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,5,0,3,Lower,0.0,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
15354,0.019710738896287938,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,402.858,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
38732,0.05400055112546951,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,5,1,4,Lower,82.307,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
21595,0.004110191416669164,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,1170.852,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
42980,0.024807503512449796,High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Higher,196.495,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
11000,0.013140047535162125,High,Stable / Limited Deterioration,5/5 behavioural metrics declined across the observed period,0,0,5,Highest,579.548,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
28214,0.008732127057233642,Moderate,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Lower,6.167,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
15993,0.007910832725457785,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Moderate,112.078,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
15087,0.011451304239188234,High,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,4,1,3,Moderate,164.318,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
10597,0.20802857268914324,Very High,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,5,0,1,Moderate,165.535,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
3510,0.0018753982407196152,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,3,1,1,Higher,313.376,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
42741,0.01497461677431228,High,Recent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,5,0,2,Moderate,102.24,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
32036,0.0027324391950019834,Low,Stable / Limited Deterioration,3/5 behavioural metrics declined across the observed period,0,0,3,Higher,353.879,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
